Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2 ,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2 ,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
24.550,39.950,1.320,0.716,0.218,0.138,3.273,1.714,0.501,0.317,0.878,0.437,0.121,0.076
24.550,40.050,0.906,0.516,0.190,0.127,2.291,1.246,0.439,0.297,0.617,0.324,0.111,0.074
24.550,40.150,0.835,0.448,0.168,0.117,2.100,1.091,0.398,0.275,0.574,0.293,0.105,0.072
24.550,40.250,0.736,0.397,0.155,0.110,1.851,0.961,0.363,0.255,0.502,0.261,0.098,0.068
24.550,40.350,0.741,0.386,0.147,0.103,1.845,0.931,0.342,0.236,0.476,0.244,0.092,0.064
24.650,39.750,0.654,0.386,0.160,0.114,1.637,0.924,0.373,0.265,0.471,0.257,0.099,0.069
24.650,39.850,0.882,0.508,0.189,0.128,2.226,1.223,0.437,0.298,0.621,0.324,0.109,0.074
24.650,39.950,1.139,0.614,0.212,0.137,2.825,1.472,0.487,0.314,0.767,0.383,0.119,0.076
24.650,40.050,1.149,0.621,0.205,0.135,2.854,1.489,0.470,0.311,0.765,0.383,0.116,0.076
24.650,40.150,0.870,0.486,0.185,0.127,2.200,1.179,0.431,0.297,0.597,0.311,0.110,0.075
24.650,40.250,0.788,0.425,0.166,0.116,1.983,1.037,0.393,0.274,0.544,0.280,0.103,0.071
24.650,40.350,0.783,0.412,0.155,0.107,1.952,0.997,0.363,0.246,0.506,0.259,0.096,0.066
24.650,40.450,0.755,0.383,0.136,0.090,1.883,0.926,0.318,0.211,0.489,0.243,0.089,0.061
24.650,40.550,0.697,0.346,0.117,0.077,1.737,0.838,0.278,0.178,0.454,0.224,0.082,0.057
24.750,39.650,0.527,0.295,0.126,0.093,1.299,0.705,0.295,0.216,0.383,0.211,0.087,0.063
24.750,39.750,0.582,0.334,0.145,0.105,1.442,0.805,0.331,0.240,0.422,0.231,0.093,0.067
24.750,39.850,0.696,0.405,0.165,0.117,1.727,0.966,0.387,0.275,0.497,0.268,0.102,0.071
24.750,39.950,0.915,0.517,0.191,0.130,2.293,1.239,0.440,0.302,0.644,0.330,0.111,0.075
